x0,y0,x1,y1,realSeparation,desiredSeparation,pairHeadingAngle,desiredOrientation,time,frequency
244 , 265 , 364 , 271 , 120.15 , 120.0 , -2.862 , 0.0 , 3.486 , 29.7
243 , 265 , 364 , 271 , 121.149 , 120.0 , -2.839 , 0.0 , 3.536 , 27.703
243 , 266 , 364 , 271 , 121.103 , 120.0 , -2.366 , 0.0 , 3.552 , 27.793
242 , 266 , 364 , 270 , 122.066 , 120.0 , -1.878 , 0.0 , 3.586 , -25.869
242 , 267 , 364 , 270 , 122.037 , 120.0 , -1.409 , 0.0 , 3.618 , -25.926
242 , 267 , 365 , 270 , 123.037 , 120.0 , -1.397 , 0.0 , 3.635 , -23.927
243 , 268 , 364 , 270 , 121.017 , 120.0 , -0.947 , 0.0 , 3.651 , -27.967
243 , 268 , 364 , 269 , 121.004 , 120.0 , -0.474 , 0.0 , 3.668 , -27.992
242 , 268 , 365 , 269 , 123.004 , 120.0 , -0.466 , 0.0 , 3.686 , -23.992
242 , 268 , 364 , 269 , 122.004 , 120.0 , -0.47 , 0.0 , 3.702 , -25.992
243 , 269 , 365 , 268 , 122.004 , 120.0 , 0.47 , 0.0 , 3.719 , -25.992
243 , 269 , 364 , 268 , 121.004 , 120.0 , 0.474 , 0.0 , 3.734 , -27.992
242 , 269 , 364 , 268 , 122.004 , 120.0 , 0.47 , 0.0 , 3.752 , -25.992
243 , 269 , 364 , 267 , 121.017 , 120.0 , 0.947 , 0.0 , 3.768 , -27.967
243 , 270 , 364 , 267 , 121.037 , 120.0 , 1.42 , 0.0 , 3.785 , -27.926
243 , 270 , 366 , 267 , 123.037 , 120.0 , 1.397 , 0.0 , 3.802 , -23.927
243 , 271 , 365 , 266 , 122.102 , 120.0 , 2.347 , 0.0 , 3.819 , -25.795
243 , 272 , 366 , 266 , 123.146 , 120.0 , 2.793 , 0.0 , 3.834 , -23.707
244 , 272 , 366 , 267 , 122.102 , 120.0 , 2.347 , 0.0 , 3.851 , -25.795
244 , 273 , 365 , 266 , 121.202 , 120.0 , 3.311 , 0.0 , 3.867 , -27.595
243 , 273 , 366 , 266 , 123.199 , 120.0 , 3.257 , 0.0 , 3.885 , -23.602
244 , 274 , 365 , 266 , 121.264 , 120.0 , 3.783 , 0.0 , 3.901 , -27.472
244 , 274 , 365 , 265 , 121.334 , 120.0 , 4.254 , 0.0 , 3.934 , -27.332
244 , 274 , 365 , 266 , 121.264 , 120.0 , 3.783 , 0.0 , 3.952 , -27.472
245 , 275 , 364 , 265 , 119.419 , 120.0 , 4.803 , 0.0 , 3.968 , -31.161
245 , 275 , 364 , 266 , 119.34 , 120.0 , 4.325 , 0.0 , 3.984 , -31.32
245 , 275 , 365 , 266 , 120.337 , 120.0 , 4.289 , 0.0 , 4.0 , -29.326
245 , 275 , 364 , 265 , 119.419 , 120.0 , 4.803 , 0.0 , 4.018 , -31.161
246 , 275 , 364 , 265 , 118.423 , 120.0 , 4.844 , 0.0 , 4.034 , -33.154
246 , 275 , 363 , 265 , 117.427 , 120.0 , 4.885 , 0.0 , 4.051 , -35.147
247 , 276 , 364 , 265 , 117.516 , 120.0 , 5.371 , 0.0 , 4.069 , -34.968
247 , 276 , 363 , 264 , 116.619 , 120.0 , 5.906 , 0.0 , 4.085 , -36.762
248 , 276 , 363 , 264 , 115.624 , 120.0 , 5.957 , 0.0 , 4.117 , -38.751
248 , 277 , 362 , 263 , 114.856 , 120.0 , 7.001 , 0.0 , 4.134 , -40.287
249 , 277 , 364 , 262 , 115.974 , 120.0 , 7.431 , 0.0 , 4.15 , -38.052
249 , 278 , 364 , 262 , 116.108 , 120.0 , 7.921 , 0.0 , 4.168 , -37.785
249 , 278 , 364 , 263 , 115.974 , 120.0 , 7.431 , 0.0 , 4.185 , -38.052
249 , 278 , 364 , 264 , 115.849 , 120.0 , 6.941 , 0.0 , 4.201 , -38.302
249 , 278 , 363 , 264 , 114.856 , 120.0 , 7.001 , 0.0 , 4.217 , -40.287
249 , 278 , 362 , 264 , 113.864 , 120.0 , 7.063 , 0.0 , 4.267 , -42.272
250 , 278 , 362 , 263 , 113.0 , 120.0 , 7.628 , 0.0 , 4.283 , -44.0
250 , 277 , 363 , 263 , 113.864 , 120.0 , 7.063 , 0.0 , 4.301 , -42.272
250 , 277 , 364 , 263 , 114.856 , 120.0 , 7.001 , 0.0 , 4.351 , -40.287
250 , 277 , 363 , 263 , 113.864 , 120.0 , 7.063 , 0.0 , 4.368 , -42.272
250 , 277 , 364 , 263 , 114.856 , 120.0 , 7.001 , 0.0 , 4.416 , -40.287
250 , 276 , 364 , 263 , 114.739 , 120.0 , 6.506 , 0.0 , 4.482 , -40.522
250 , 276 , 365 , 263 , 115.732 , 120.0 , 6.45 , 0.0 , 4.532 , -38.535
249 , 275 , 365 , 264 , 116.52 , 120.0 , 5.417 , 0.0 , 4.583 , -36.959
249 , 275 , 366 , 264 , 117.516 , 120.0 , 5.371 , 0.0 , 4.599 , -34.968
249 , 274 , 365 , 264 , 116.43 , 120.0 , 4.927 , 0.0 , 4.616 , -37.14
249 , 274 , 366 , 264 , 117.427 , 120.0 , 4.885 , 0.0 , 4.682 , -35.147
249 , 273 , 366 , 264 , 117.346 , 120.0 , 4.399 , 0.0 , 4.698 , -35.309
248 , 273 , 366 , 264 , 118.343 , 120.0 , 4.362 , 0.0 , 4.717 , -33.315
248 , 272 , 366 , 264 , 118.271 , 120.0 , 3.879 , 0.0 , 4.733 , -33.458
248 , 272 , 367 , 265 , 119.206 , 120.0 , 3.366 , 0.0 , 4.75 , -31.589
248 , 271 , 366 , 265 , 118.152 , 120.0 , 2.911 , 0.0 , 4.783 , -33.695
248 , 271 , 367 , 265 , 119.151 , 120.0 , 2.886 , 0.0 , 4.798 , -31.698
247 , 270 , 367 , 266 , 120.067 , 120.0 , 1.909 , 0.0 , 4.833 , 29.867
247 , 269 , 368 , 266 , 121.037 , 120.0 , 1.42 , 0.0 , 4.881 , 27.926
247 , 269 , 367 , 266 , 120.037 , 120.0 , 1.432 , 0.0 , 4.898 , 29.925
246 , 269 , 368 , 267 , 122.016 , 120.0 , 0.939 , 0.0 , 4.92 , 25.967
246 , 268 , 367 , 267 , 121.004 , 120.0 , 0.474 , 0.0 , 4.948 , 27.992
246 , 267 , 367 , 269 , 121.017 , 120.0 , -0.947 , 0.0 , 4.998 , 27.967
246 , 267 , 367 , 268 , 121.004 , 120.0 , -0.474 , 0.0 , 5.017 , 27.992
246 , 266 , 367 , 269 , 121.037 , 120.0 , -1.42 , 0.0 , 5.032 , 27.926
246 , 265 , 366 , 270 , 120.104 , 120.0 , -2.386 , 0.0 , 5.068 , 29.792
246 , 265 , 366 , 271 , 120.15 , 120.0 , -2.862 , 0.0 , 5.081 , 29.7
246 , 265 , 366 , 270 , 120.104 , 120.0 , -2.386 , 0.0 , 5.098 , 29.792
246 , 264 , 366 , 271 , 120.204 , 120.0 , -3.338 , 0.0 , 5.115 , 29.592
246 , 264 , 365 , 271 , 119.206 , 120.0 , -3.366 , 0.0 , 5.131 , 31.589
246 , 263 , 365 , 272 , 119.34 , 120.0 , -4.325 , 0.0 , 5.147 , 31.32
247 , 263 , 364 , 273 , 117.427 , 120.0 , -4.885 , 0.0 , 5.185 , 35.147
246 , 262 , 364 , 274 , 118.609 , 120.0 , -5.807 , 0.0 , 5.199 , 32.783
247 , 261 , 364 , 274 , 117.72 , 120.0 , -6.34 , 0.0 , 5.214 , 34.56
247 , 260 , 364 , 275 , 117.958 , 120.0 , -7.306 , 0.0 , 5.247 , 34.085
247 , 260 , 364 , 276 , 118.089 , 120.0 , -7.787 , 0.0 , 5.265 , 33.822
247 , 259 , 364 , 275 , 118.089 , 120.0 , -7.787 , 0.0 , 5.281 , 33.822
247 , 259 , 363 , 276 , 117.239 , 120.0 , -8.337 , 0.0 , 5.297 , 35.522
246 , 259 , 364 , 276 , 119.218 , 120.0 , -8.198 , 0.0 , 5.314 , 31.563
247 , 259 , 364 , 277 , 118.377 , 120.0 , -8.746 , 0.0 , 5.33 , 33.247
247 , 259 , 363 , 277 , 117.388 , 120.0 , -8.82 , 0.0 , 5.348 , 35.224
247 , 258 , 364 , 277 , 118.533 , 120.0 , -9.224 , 0.0 , 5.365 , 32.935
247 , 258 , 363 , 278 , 117.712 , 120.0 , -9.782 , 0.0 , 5.38 , 34.577
247 , 257 , 364 , 278 , 118.87 , 120.0 , -10.176 , 0.0 , 5.397 , 32.261
246 , 257 , 363 , 278 , 118.87 , 120.0 , -10.176 , 0.0 , 5.413 , 32.261
247 , 257 , 363 , 278 , 117.886 , 120.0 , -10.261 , 0.0 , 5.43 , 34.229
247 , 257 , 363 , 279 , 118.068 , 120.0 , -10.739 , 0.0 , 5.496 , 33.864
247 , 257 , 362 , 279 , 117.085 , 120.0 , -10.83 , 0.0 , 5.546 , 35.829
247 , 257 , 363 , 279 , 118.068 , 120.0 , -10.739 , 0.0 , 5.563 , 33.864
247 , 257 , 362 , 279 , 117.085 , 120.0 , -10.83 , 0.0 , 5.58 , 35.829
248 , 257 , 363 , 279 , 117.085 , 120.0 , -10.83 , 0.0 , 5.596 , 35.829
247 , 256 , 362 , 279 , 117.277 , 120.0 , -11.31 , 0.0 , 5.613 , 35.445
247 , 256 , 362 , 280 , 117.478 , 120.0 , -11.788 , 0.0 , 5.646 , 35.045
247 , 256 , 362 , 279 , 117.277 , 120.0 , -11.31 , 0.0 , 5.662 , 35.445
247 , 256 , 362 , 280 , 117.478 , 120.0 , -11.788 , 0.0 , 5.679 , 35.045
247 , 256 , 362 , 279 , 117.277 , 120.0 , -11.31 , 0.0 , 5.696 , 35.445
247 , 256 , 362 , 280 , 117.478 , 120.0 , -11.788 , 0.0 , 5.712 , 35.045
247 , 257 , 363 , 280 , 118.258 , 120.0 , -11.215 , 0.0 , 5.746 , 33.484
248 , 257 , 363 , 279 , 117.085 , 120.0 , -10.83 , 0.0 , 5.762 , 35.829
248 , 256 , 363 , 279 , 117.277 , 120.0 , -11.31 , 0.0 , 5.779 , 35.445
247 , 256 , 363 , 279 , 118.258 , 120.0 , -11.215 , 0.0 , 5.795 , 33.484
247 , 256 , 362 , 278 , 117.085 , 120.0 , -10.83 , 0.0 , 5.831 , 35.829
247 , 256 , 362 , 279 , 117.277 , 120.0 , -11.31 , 0.0 , 5.846 , 35.445
247 , 256 , 363 , 279 , 118.258 , 120.0 , -11.215 , 0.0 , 5.863 , 33.484
247 , 256 , 363 , 278 , 118.068 , 120.0 , -10.739 , 0.0 , 5.878 , 33.864
247 , 257 , 363 , 279 , 118.068 , 120.0 , -10.739 , 0.0 , 5.895 , 33.864
247 , 257 , 363 , 278 , 117.886 , 120.0 , -10.261 , 0.0 , 5.913 , 34.229
246 , 257 , 364 , 279 , 120.033 , 120.0 , -10.561 , 0.0 , 5.933 , 29.933
246 , 257 , 364 , 278 , 119.854 , 120.0 , -10.091 , 0.0 , 5.98 , 30.292
246 , 258 , 364 , 278 , 119.683 , 120.0 , -9.62 , 0.0 , 5.997 , 30.634
246 , 258 , 364 , 277 , 119.52 , 120.0 , -9.147 , 0.0 , 6.029 , 30.96
245 , 258 , 364 , 277 , 120.507 , 120.0 , -9.071 , 0.0 , 6.063 , 28.985
245 , 258 , 364 , 276 , 120.354 , 120.0 , -8.601 , 0.0 , 6.095 , 29.293
