x0,y0,x1,y1,realSeparation,desiredSeparation,pairHeadingAngle,desiredOrientation,time,frequency
254 , 274 , 373 , 289 , 119.942 , 120.0 , -7.184 , 0.0 , 5.119 , 30.117
254 , 274 , 373 , 290 , 120.071 , 120.0 , -7.658 , 0.0 , 5.135 , 29.858
254 , 274 , 373 , 289 , 119.942 , 120.0 , -7.184 , 0.0 , 5.151 , 30.117
254 , 274 , 373 , 290 , 120.071 , 120.0 , -7.658 , 0.0 , 5.169 , 29.858
254 , 274 , 373 , 289 , 119.942 , 120.0 , -7.184 , 0.0 , 5.184 , 30.117
255 , 274 , 373 , 290 , 119.08 , 120.0 , -7.722 , 0.0 , 5.203 , 31.84
255 , 274 , 373 , 289 , 118.95 , 120.0 , -7.245 , 0.0 , 5.241 , 32.101
255 , 274 , 374 , 289 , 119.942 , 120.0 , -7.184 , 0.0 , 5.266 , 30.117
255 , 274 , 373 , 289 , 118.95 , 120.0 , -7.245 , 0.0 , 5.284 , 32.101
255 , 274 , 373 , 288 , 118.828 , 120.0 , -6.766 , 0.0 , 5.3 , 32.345
255 , 274 , 372 , 288 , 117.835 , 120.0 , -6.823 , 0.0 , 5.316 , 34.331
255 , 273 , 372 , 289 , 118.089 , 120.0 , -7.787 , 0.0 , 5.333 , 33.822
255 , 273 , 372 , 288 , 117.958 , 120.0 , -7.306 , 0.0 , 5.35 , 34.085
255 , 273 , 371 , 288 , 116.966 , 120.0 , -7.368 , 0.0 , 5.4 , 36.068
255 , 274 , 371 , 288 , 116.842 , 120.0 , -6.882 , 0.0 , 5.417 , 36.316
254 , 273 , 371 , 288 , 117.958 , 120.0 , -7.306 , 0.0 , 5.434 , 34.085
254 , 273 , 370 , 288 , 116.966 , 120.0 , -7.368 , 0.0 , 5.451 , 36.068
255 , 273 , 371 , 289 , 117.098 , 120.0 , -7.853 , 0.0 , 5.471 , 35.804
253 , 273 , 371 , 289 , 119.08 , 120.0 , -7.722 , 0.0 , 5.484 , 31.84
253 , 274 , 372 , 289 , 119.942 , 120.0 , -7.184 , 0.0 , 5.516 , 30.117
252 , 274 , 372 , 290 , 121.062 , 120.0 , -7.595 , 0.0 , 5.534 , 27.876
252 , 274 , 372 , 289 , 120.934 , 120.0 , -7.125 , 0.0 , 5.552 , 28.132
252 , 275 , 373 , 289 , 121.807 , 120.0 , -6.6 , 0.0 , 5.572 , 26.386
